_01_Current_and_Capital_Expenditure:_Total_RD_Expenditure,ANZSIC_1_Digit,"A_Agriculture, Forestry and Fishing",2016,91,,12,NZ Dollars (millions)
_01_Current_and_Capital_Expenditure:_Total_RD_Expenditure,ANZSIC_1_Digit,"A_Agriculture, Forestry and Fishing",2018,89,,12,NZ Dollars (millions)
_01_Current_and_Capital_Expenditure:_Total_RD_Expenditure,ANZSIC_1_Digit,"A_Agriculture, Forestry and Fishing",2019,...,,12,NZ Dollars (millions)
_01_Current_and_Capital_Expenditure:_Total_RD_Expenditure,ANZSIC_1_Digit,"A_Agriculture, Forestry and Fishing",2020,99,P,12,NZ Dollars (millions)
_01_Current_and_Capital_Expenditure:_Total_RD_Expenditure,ANZSIC_1_Digit,"A_Agriculture, Forestry and Fishing",2021,...,,12,NZ Dollars (millions)
_01_Current_and_Capital_Expenditure:_Total_RD_Expenditure,ANZSIC_1_Digit,B_Mining,2016,5,,12,NZ Dollars (millions)
_01_Current_and_Capital_Expenditure:_Total_RD_Expenditure,ANZSIC_1_Digit,B_Mining,2018,9,,12,NZ Dollars (millions)
한글이:_Total_RD_Expenditure,ANZSIC_1_Digit,B_Mining,2019,...,,12,NZ Dollars (millions)
_01_Current_and_Capital_Expenditure:_Total_RD_Expenditure,ANZSIC_1_Digit,B_Mining,2020,2,P,12,NZ Dollars (millions),fdsa
_01_Current_and_Capital_Expenditure:_Total_RD_Expenditure,ANZSIC_1_Digit,B_Mining,2021,...,,12,NZ Dollars (millions)
_01_Current_and_Capital_Expenditure:한글아,ANZSIC_1_Digit,C_Manufacturing,2016,671,,12,NZ Dollars (millions)
_01_Current_and_Capital_Expenditure:_Total_RD_Expenditure,ANZSIC_1_Digit,C_Manufacturing,2018,673,,12,NZ Dollars (millions)
_01_Current_and_Capital_Expenditure:_Total_RD_Expenditure,ANZSIC_1_Digit,C_Manufacturing,2019,...,,12,NZ Dollars (millions)
_01_Current_and_Capital_Expenditure:_Total_RD_Expenditure,ANZSIC_1_Digit,C_Manufacturing,2020,825,P,12,NZ Dollars (millions),fdsafdsa
